Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.137057, 0.455983]",[0.275242],"[0.0, 1.1]",[Int64[]],0.0,Motor attached
2,"[0.147594, 0.447155]",[0.276097],"[0.00251, 1.094927]",[Int64[]],-0.007583,Motor attached
3,"[0.157608, 0.438249]",[0.276651],"[0.004181, 1.091592]",[Int64[]],-0.012589,Motor attached
4,"[0.167213, 0.429344]",[0.277001],"[0.005253, 1.089472]",[Int64[]],-0.015781,Motor attached
5,"[0.176483, 0.420485]",[0.277206],"[0.005889, 1.088219]",[Int64[]],-0.01767,Motor attached
6,"[0.185472, 0.411701]",[0.277309],"[0.006208, 1.087592]",[Int64[]],-0.018616,Motor attached
7,"[0.19422, 0.40301]",[0.277337],"[0.006296, 1.087419]",[Int64[]],-0.018877,Motor attached
8,"[0.202757, 0.394422]",[0.277312],"[0.006217, 1.087575]",[Int64[]],-0.018642,Motor attached
9,"[0.211107, 0.385944]",[0.277248],"[0.006017, 1.087967]",[Int64[]],-0.018051,Motor attached
10,"[0.219288, 0.377579]",[0.277156],"[0.005732, 1.088526]",[Int64[]],-0.017206,Motor attached
11,"[0.227317, 0.369329]",[0.277046],"[0.005388, 1.089202]",[Int64[]],-0.016186,Motor attached
12,"[0.235206, 0.361194]",[0.276922],"[0.005005, 1.089956]",[Int64[]],-0.015049,Motor attached
13,"[0.242964, 0.353171]",[0.27679],"[0.004597, 1.09076]",[Int64[]],-0.013838,Motor attached
14,"[0.250602, 0.345259]",[0.276653],"[0.004176, 1.091591]",[Int64[]],-0.012585,Motor attached
15,"[0.258127, 0.337456]",[0.276514],"[0.003749, 1.092436]",[Int64[]],-0.011314,Motor attached
16,"[0.265545, 0.329759]",[0.276374],"[0.003323, 1.093281]",[Int64[]],-0.010042,Motor attached
17,"[0.272862, 0.322164]",[0.276235],"[0.002901, 1.09412]",[Int64[]],-0.008782,Motor attached
18,"[0.280083, 0.314669]",[0.276098],"[0.002487, 1.094945]",[Int64[]],-0.007542,Motor attached
19,"[0.287212, 0.307271]",[0.275964],"[0.002082, 1.095753]",[Int64[]],-0.006329,Motor attached
20,"[0.294254, 0.299967]",[0.275833],"[0.001687, 1.096542]",[Int64[]],-0.005146,Motor attached
21,"[0.301211, 0.292753]",[0.275705],"[0.001305, 1.097309]",[Int64[]],-0.003996,Motor attached
22,"[0.308189, 0.285525]",[0.27558],"[0.000933, 1.098055]",[Int64[]],-0.002878,Motor attached
23,"[0.315256, 0.278212]",[0.275457],"[0.000568, 1.098789]",[Int64[]],-0.001779,Motor attached
24,"[0.322414, 0.270809]",[0.275334],"[0.000205, 1.09952]",[Int64[]],-0.000684,Motor attached
25,"[0.329665, 0.263311]",[0.27521],"[-0.00016, 1.100256]",[Int64[]],0.000416,Motor attached
26,"[0.337011, 0.255712]",[0.275084],"[-0.000529, 1.101003]",[Int64[]],0.001533,Motor attached
27,"[0.344457, 0.24801]",[0.274956],"[-0.000906, 1.101767]",[Int64[]],0.002673,Motor attached
28,"[0.352004, 0.240197]",[0.274823],"[-0.001292, 1.10255]",[Int64[]],0.003843,Motor attached
29,"[0.359658, 0.232269]",[0.274686],"[-0.00169, 1.103359]",[Int64[]],0.005049,Motor attached
30,"[0.367422, 0.224221]",[0.274544],"[-0.002101, 1.104197]",[Int64[]],0.006298,Motor attached
31,"[0.375301, 0.216046]",[0.274396],"[-0.002527, 1.105067]",[Int64[]],0.007593,Motor attached
32,"[0.3833, 0.207738]",[0.274241],"[-0.002969, 1.105973]",[Int64[]],0.008942,Motor attached
33,"[0.391424, 0.19929]",[0.274079],"[-0.00343, 1.106919]",[Int64[]],0.010349,Motor attached
34,"[0.39968, 0.190695]",[0.27391],"[-0.003911, 1.107908]",[Int64[]],0.011819,Motor attached
35,"[0.408073, 0.181945]",[0.273732],"[-0.004414, 1.108946]",[Int64[]],0.01336,Motor attached
36,"[0.416612, 0.173031]",[0.273544],"[-0.004941, 1.110036]",[Int64[]],0.014977,Motor attached
37,"[0.425303, 0.163944]",[0.273346],"[-0.005495, 1.111184]",[Int64[]],0.016678,Motor attached
38,"[0.434156, 0.154672]",[0.273136],"[-0.006077, 1.112395]",[Int64[]],0.018472,Motor attached
39,"[0.443178, 0.145205]",[0.272914],"[-0.00669, 1.113676]",[Int64[]],0.020366,Motor attached
40,"[0.452381, 0.135529]",[0.272677],"[-0.007338, 1.115033]",[Int64[]],0.022372,Motor attached
41,"[0.461775, 0.12563]",[0.272425],"[-0.008024, 1.116476]",[Int64[]],0.024501,Motor attached
42,"[0.471374, 0.115492]",[0.272155],"[-0.008753, 1.118013]",[Int64[]],0.026766,Motor attached
43,"[0.481204, 0.105112]",[0.271881],"[-0.009518, 1.119603]",[Int64[]],0.02912,Motor attached
44,"[0.491333, 0.094526]",[0.271652],"[-0.010291, 1.121062]",[Int64[]],0.031353,Motor attached
45,"[0.501774, 0.083705]",[0.271462],"[-0.011101, 1.122442]",[Int64[]],0.033544,Motor attached
46,"[0.512542, 0.072622]",[0.271305],"[-0.011971, 1.123785]",[Int64[]],0.035756,Motor attached
47,"[0.523662, 0.061246]",[0.271177],"[-0.012922, 1.125119]",[Int64[]],0.038041,Motor attached
48,"[0.535161, 0.049546]",[0.271076],"[-0.013972, 1.126471]",[Int64[]],0.040443,Motor attached
49,"[0.547074, 0.037486]",[0.271002],"[-0.015142, 1.127861]",[Int64[]],0.043003,Motor attached
50,"[0.559441, 0.025025]",[0.270956],"[-0.016452, 1.129312]",[Int64[]],0.045764,Motor attached
51,"[0.572313, 0.012114]",[0.270936],"[-0.017927, 1.130845]",[Int64[]],0.048772,Motor attached
52,"[0.58575, -0.001304]",[0.270945],"[-0.019595, 1.132485]",[Int64[]],0.05208,Motor attached
53,"[0.599826, -0.0153]",[0.270986],"[-0.021491, 1.134261]",[Int64[]],0.055752,Motor attached
54,"[0.614634, -0.029961]",[0.271059],"[-0.023659, 1.136209]",[Int64[]],0.059868,Motor attached
55,"[0.630265, -0.045425]",[0.271142],"[-0.026071, 1.138371]",[Int64[]],0.064442,Motor attached
56,"[0.64684, -0.061876]",[0.271205],"[-0.028701, 1.140814]",[Int64[]],0.069516,Motor attached
57,"[0.664552, -0.079523]",[0.271237],"[-0.031634, 1.143649]",[Int64[]],0.075283,Motor attached
58,"[0.683671, -0.098657]",[0.271229],"[-0.034985, 1.147024]",[Int64[]],0.082009,Motor attached
59,"[0.704598, -0.119707]",[0.271168],"[-0.038937, 1.151161]",[Int64[]],0.090098,Motor attached
60,"[0.727964, -0.143342]",[0.271034],"[-0.043795, 1.15642]",[Int64[]],0.100215,Motor attached
61,"[0.754875, -0.17072]",[0.2708],"[-0.050131, 1.163458]",[Int64[]],0.113589,Motor attached
62,"[0.78758, -0.204187]",[0.270419],"[-0.059218, 1.173689]",[Int64[]],0.132908,Motor dettached
63,"[0.779528, -0.191657]",[0.270419],"[-0.040743, 1.150736]",[Int64[]],0.091478,Motor dettached
64,"[0.778026, -0.187526]",[0.270419],"[-0.030878, 1.138242]",[Int64[]],0.069119,Motor dettached
65,"[0.77717, -0.184762]",[0.270419],"[-0.023677, 1.129132]",[Int64[]],0.052809,Motor dettached
66,"[0.77662, -0.182794]",[0.270419],"[-0.018281, 1.122317]",[Int64[]],0.040598,Motor dettached
67,"[0.776244, -0.181349]",[0.270419],"[-0.014184, 1.117152]",[Int64[]],0.031336,Motor dettached
68,"[0.775977, -0.18027]",[0.270419],"[-0.011049, 1.113205]",[Int64[]],0.024254,Motor dettached
69,"[0.775783, -0.179455]",[0.270419],"[-0.008637, 1.110173]",[Int64[]],0.01881,Motor dettached
70,"[0.775639, -0.178833]",[0.270419],"[-0.006775, 1.107833]",[Int64[]],0.014609,Motor dettached
71,"[0.77553, -0.178357]",[0.270419],"[-0.005334, 1.106024]",[Int64[]],0.011358,Motor dettached
72,"[0.775448, -0.17799]",[0.270419],"[-0.004217, 1.104622]",[Int64[]],0.008839,Motor dettached
73,"[0.775385, -0.177707]",[0.270419],"[-0.003349, 1.103533]",[Int64[]],0.006882,Motor dettached
74,"[0.775337, -0.177488]",[0.270419],"[-0.002674, 1.102687]",[Int64[]],0.005361,Motor dettached
75,"[0.7753, -0.177318]",[0.270419],"[-0.002149, 1.102029]",[Int64[]],0.004178,Motor dettached
76,"[0.775272, -0.177185]",[0.270419],"[-0.00174, 1.101517]",[Int64[]],0.003257,Motor dettached
77,"[0.77525, -0.177083]",[0.270419],"[-0.001421, 1.101118]",[Int64[]],0.002539,Motor dettached
78,"[0.775233, -0.177003]",[0.270419],"[-0.001173, 1.100807]",[Int64[]],0.00198,Motor dettached
79,"[0.775219, -0.176941]",[0.270419],"[-0.00098, 1.100565]",[Int64[]],0.001544,Motor dettached
80,"[0.775209, -0.176892]",[0.270419],"[-0.000829, 1.100376]",[Int64[]],0.001205,Motor dettached
81,"[0.775201, -0.176855]",[0.270419],"[-0.000711, 1.100228]",[Int64[]],0.00094,Motor dettached
82,"[0.775194, -0.176825]",[0.270419],"[-0.000619, 1.100114]",[Int64[]],0.000733,Motor dettached
83,"[0.77519, -0.176802]",[0.270419],"[-0.000548, 1.100024]",[Int64[]],0.000572,Motor dettached
84,"[0.775186, -0.176784]",[0.270419],"[-0.000492, 1.099954]",[Int64[]],0.000446,Motor dettached
85,"[0.775183, -0.17677]",[0.270419],"[-0.000449, 1.0999]",[Int64[]],0.000348,Motor dettached
86,"[0.77518, -0.17676]",[0.270419],"[-0.000415, 1.099857]",[Int64[]],0.000272,Motor dettached
87,"[0.775179, -0.176751]",[0.270419],"[-0.000388, 1.099824]",[Int64[]],0.000212,Motor dettached
88,"[0.775177, -0.176744]",[0.270419],"[-0.000367, 1.099798]",[Int64[]],0.000165,Motor dettached
89,"[0.775176, -0.176739]",[0.270419],"[-0.000351, 1.099778]",[Int64[]],0.000129,Motor dettached
90,"[0.775175, -0.176735]",[0.270419],"[-0.000339, 1.099762]",[Int64[]],0.000101,Motor dettached
91,"[0.775175, -0.176732]",[0.270419],"[-0.000329, 1.09975]",[Int64[]],7.9e-5,Motor dettached
92,"[0.775174, -0.17673]",[0.270419],"[-0.000321, 1.09974]",[Int64[]],6.1e-5,Motor dettached
93,"[0.775174, -0.176728]",[0.270419],"[-0.000315, 1.099733]",[Int64[]],4.8e-5,Motor dettached
94,"[0.775173, -0.176726]",[0.270419],"[-0.000311, 1.099727]",[Int64[]],3.7e-5,Motor dettached
95,"[0.775173, -0.176725]",[0.270419],"[-0.000307, 1.099722]",[Int64[]],2.9e-5,Motor dettached
96,"[0.775173, -0.176724]",[0.270419],"[-0.000304, 1.099719]",[Int64[]],2.3e-5,Motor dettached
97,"[0.775173, -0.176723]",[0.270419],"[-0.000302, 1.099716]",[Int64[]],1.8e-5,Motor dettached
98,"[0.775173, -0.176723]",[0.270419],"[-0.0003, 1.099714]",[Int64[]],1.4e-5,Motor dettached
99,"[0.775173, -0.176722]",[0.270419],"[-0.000299, 1.099712]",[Int64[]],1.1e-5,Motor dettached
100,"[0.775173, -0.176722]",[0.270419],"[-0.000298, 1.099711]",[Int64[]],8.0e-6,Motor dettached
101,"[0.775172, -0.176722]",[0.270419],"[-0.000297, 1.09971]",[Int64[]],7.0e-6,Motor dettached
102,"[0.775172, -0.176722]",[0.270419],"[-0.000296, 1.099709]",[Int64[]],5.0e-6,Motor dettached
103,"[0.775172, -0.176721]",[0.270419],"[-0.000296, 1.099708]",[Int64[]],4.0e-6,Motor dettached
104,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099708]",[Int64[]],3.0e-6,Motor dettached
105,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099707]",[Int64[]],2.0e-6,Motor dettached
106,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099707]",[Int64[]],2.0e-6,Motor dettached
107,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099707]",[Int64[]],1.0e-6,Motor dettached
108,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099707]",[Int64[]],1.0e-6,Motor dettached
109,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099707]",[Int64[]],1.0e-6,Motor dettached
110,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],1.0e-6,Motor dettached
111,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],1.0e-6,Motor dettached
112,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
113,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
114,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
115,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
116,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
117,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
118,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
119,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
120,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
121,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
