Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.054174, 0.438685]",[0.480809],"[0.0, 1.1]",[Int64[]],0.0,Motor attached
2,"[0.065777, 0.42932]",[0.481929],"[0.003153, 1.093489]",[Int64[]],-0.009664,Motor attached
3,"[0.076773, 0.419908]",[0.482721],"[0.005317, 1.08895]",[Int64[]],-0.016367,Motor attached
4,"[0.087274, 0.410512]",[0.483273],"[0.006745, 1.085863]",[Int64[]],-0.020881,Motor attached
5,"[0.097356, 0.401168]",[0.483642],"[0.007619, 1.083883]",[Int64[]],-0.023736,Motor attached
6,"[0.107025, 0.391852]",[0.483819],"[0.008041, 1.082932]",[Int64[]],-0.025109,Motor attached
7,"[0.116359, 0.382609]",[0.483865],"[0.008152, 1.082682]",[Int64[]],-0.02547,Motor attached
8,"[0.125415, 0.373468]",[0.483822],"[0.00805, 1.082913]",[Int64[]],-0.025137,Motor attached
9,"[0.134232, 0.364445]",[0.483719],"[0.007801, 1.083471]",[Int64[]],-0.02433,Motor attached
10,"[0.14284, 0.355549]",[0.483575],"[0.007455, 1.084249]",[Int64[]],-0.023207,Motor attached
11,"[0.151264, 0.346783]",[0.483404],"[0.007048, 1.085169]",[Int64[]],-0.021879,Motor attached
12,"[0.159522, 0.338151]",[0.483217],"[0.006602, 1.086176]",[Int64[]],-0.020426,Motor attached
13,"[0.167628, 0.329652]",[0.48302],"[0.006137, 1.087231]",[Int64[]],-0.018905,Motor attached
14,"[0.175595, 0.321282]",[0.482819],"[0.005664, 1.088307]",[Int64[]],-0.017356,Motor attached
15,"[0.183434, 0.313041]",[0.482618],"[0.005192, 1.089384]",[Int64[]],-0.015807,Motor attached
16,"[0.191151, 0.304924]",[0.482418],"[0.004727, 1.090449]",[Int64[]],-0.014278,Motor attached
17,"[0.198755, 0.296927]",[0.482222],"[0.004272, 1.091492]",[Int64[]],-0.012781,Motor attached
18,"[0.206252, 0.289047]",[0.48203],"[0.003831, 1.092507]",[Int64[]],-0.011324,Motor attached
19,"[0.213648, 0.281279]",[0.481844],"[0.003404, 1.093493]",[Int64[]],-0.009912,Motor attached
20,"[0.220946, 0.27362]",[0.481663],"[0.002993, 1.094445]",[Int64[]],-0.008548,Motor attached
21,"[0.228151, 0.266066]",[0.481489],"[0.002597, 1.095365]",[Int64[]],-0.007232,Motor attached
22,"[0.235267, 0.258613]",[0.48132],"[0.002217, 1.096252]",[Int64[]],-0.005965,Motor attached
23,"[0.242298, 0.251256]",[0.481157],"[0.001851, 1.097106]",[Int64[]],-0.004745,Motor attached
24,"[0.249246, 0.243993]",[0.481],"[0.001499, 1.097929]",[Int64[]],-0.00357,Motor attached
25,"[0.256177, 0.236758]",[0.480848],"[0.001161, 1.098722]",[Int64[]],-0.002439,Motor attached
